Package,SimilarityScore,Label,NameLength,Version,Author,SummaryLength,ReleaseCount,PackageAgeDays
reddis,91,1,6,1.0.1,,26,2,1002
redi,89,1,4,0.15.5,CTS-IT at the University of Florida,31,4,3981
rediss,91,1,6,Unknown,Unknown,0,0,0
redisy,91,1,6,0.2.1,yytdfc,58,3,2889
0ymongo,86,1,7,Unknown,Unknown,0,0,0
pymongoy,93,1,8,Unknown,Unknown,0,0,0
pymmongo,93,1,8,Unknown,Unknown,0,0,0
pymongoo,93,1,8,Unknown,Unknown,0,0,0
p1mongo,86,1,7,Unknown,Unknown,0,0,0
pymong,92,1,6,Unknown,Unknown,0,0,0
pymongox,93,1,8,Unknown,Unknown,0,0,0
ymongo,92,1,6,Unknown,Unknown,0,0,0
sycopg2,93,1,7,Unknown,Unknown,0,0,0
p1ycopg2,88,1,8,Unknown,Unknown,0,0,0
psycopg22,94,1,9,Unknown,Unknown,0,0,0
psycopg2x,94,1,9,Unknown,Unknown,0,0,0
psyycopg2,94,1,9,Unknown,Unknown,0,0,0
psycopg2y,94,1,9,Unknown,Unknown,0,0,0
0sycopg2,88,1,8,Unknown,Unknown,0,0,0
psycopg,93,1,7,3.3.4,,38,61,1752
mysqlclienty,96,1,12,Unknown,Unknown,0,0,0
ysqlclient,95,1,10,Unknown,Unknown,0,0,0
myssqlclient,96,1,12,Unknown,Unknown,0,0,0
0ysqlclient,91,1,11,Unknown,Unknown,0,0,0
mysqlclien,95,1,10,Unknown,Unknown,0,0,0
mysqlclientpkg,88,1,14,Unknown,Unknown,0,0,0
mysqlclientlib,88,1,14,Unknown,Unknown,0,0,0
mysqlclientx,96,1,12,Unknown,Unknown,0,0,0
m1sqlclient,91,1,11,Unknown,Unknown,0,0,0
mysqlclientt,96,1,12,Unknown,Unknown,0,0,0
sqlpars,93,1,7,Unknown,Unknown,0,0,0
0qlparse,88,1,8,Unknown,Unknown,0,0,0
sqlparsex,94,1,9,Unknown,Unknown,0,0,0
sqlparsee,94,1,9,Unknown,Unknown,0,0,0
sqllparse,94,1,9,Unknown,Unknown,0,0,0
sqlparsey,94,1,9,Unknown,Unknown,0,0,0
s1lparse,88,1,8,Unknown,Unknown,0,0,0
qlparse,93,1,7,Unknown,Unknown,0,0,0
inja2,91,1,5,Unknown,Unknown,0,0,0
jinja,91,1,5,1.2,Armin Ronacher,84,8,7290
jinja2x,92,1,7,Unknown,Unknown,0,0,0
jinja22,92,1,7,Unknown,Unknown,0,0,0
jinnja2,92,1,7,Unknown,Unknown,0,0,0
jinja2y,92,1,7,Unknown,Unknown,0,0,0
werkzeugx,94,1,9,Unknown,Unknown,0,0,0
werkzeu,93,1,7,Unknown,Unknown,0,0,0
erkzeug,93,1,7,Unknown,Unknown,0,0,0
w1rkzeug,88,1,8,Unknown,Unknown,0,0,0
werkzeugg,94,1,9,Unknown,Unknown,0,0,0
werrkzeug,94,1,9,Unknown,Unknown,0,0,0
werkzeugy,94,1,9,Unknown,Unknown,0,0,0
0erkzeug,88,1,8,Unknown,Unknown,0,0,0
clickx,91,1,6,Unknown,Unknown,0,0,0
clicky,91,1,6,0.3.2,Tyler Kennedy,48,9,1036
cliick,91,1,6,Unknown,Unknown,0,0,0
clickk,91,1,6,Unknown,Unknown,0,0,0
lick,89,1,4,0.10.0,"G. Wafflard-Fernandez, C.M.T. Robert",97,21,1648
clic,89,1,4,0.1.3,AaronFlower,11,4,2564
type,89,1,4,Unknown,Unknown,0,0,0
typper,91,1,6,Unknown,Unknown,0,0,0
typerr,91,1,6,Unknown,Unknown,0,0,0
yper,89,1,4,Unknown,Unknown,0,0,0
typery,91,1,6,Unknown,Unknown,0,0,0
typerx,91,1,6,0.1.5,,80,6,700
arkdown,93,1,7,Unknown,Unknown,0,0,0
markdowny,94,1,9,Unknown,Unknown,0,0,0
0arkdown,88,1,8,Unknown,Unknown,0,0,0
markdownx,94,1,9,Unknown,Unknown,0,0,0
markdow,93,1,7,Unknown,Unknown,0,0,0
marrkdown,94,1,9,Unknown,Unknown,0,0,0
m1rkdown,88,1,8,Unknown,Unknown,0,0,0
markdownn,94,1,9,Unknown,Unknown,0,0,0
easyprint,95,1,9,1.1,ThatOneCalculator (Kainoa Kanter),63,2,2685
0easyprint,90,1,10,Unknown,Unknown,0,0,0
weasyprintlib,87,1,13,Unknown,Unknown,0,0,0
weasyprin,95,1,9,Unknown,Unknown,0,0,0
weaasyprint,95,1,11,Unknown,Unknown,0,0,0
weasyprinty,95,1,11,Unknown,Unknown,0,0,0
weasyprintx,95,1,11,Unknown,Unknown,0,0,0
weasyprintt,95,1,11,Unknown,Unknown,0,0,0
w1asyprint,90,1,10,Unknown,Unknown,0,0,0
weasyprintpkg,87,1,13,Unknown,Unknown,0,0,0
reportla,94,1,8,Unknown,Unknown,0,0,0
reportlabpkg,86,1,12,Unknown,Unknown,0,0,0
reportlaby,95,1,10,Unknown,Unknown,0,0,0
reportlablib,86,1,12,Unknown,Unknown,0,0,0
repportlab,95,1,10,Unknown,Unknown,0,0,0
reportlabx,95,1,10,Unknown,Unknown,0,0,0
0eportlab,89,1,9,Unknown,Unknown,0,0,0
reportlabb,95,1,10,Unknown,Unknown,0,0,0
r1portlab,89,1,9,Unknown,Unknown,0,0,0
eportlab,94,1,8,Unknown,Unknown,0,0,0
pypdfy,91,1,6,0.1.1,David Bros Campillo,53,2,2468
pyppdf,91,1,6,0.1.2,Peter Zagubisalo,163,7,2710
ypdf,89,1,4,1.0,,0,1,1857
pypdfx,91,1,6,Unknown,Unknown,0,0,0
pypd,89,1,4,1.1.0,JD Cumpson,33,3,3363
pypdff,91,1,6,Unknown,Unknown,0,0,0
pdfplumberpkg,87,1,13,Unknown,Unknown,0,0,0
pdfplumbery,95,1,11,Unknown,Unknown,0,0,0
pdfplumberr,95,1,11,Unknown,Unknown,0,0,0
dfplumber,95,1,9,Unknown,Unknown,0,0,0
pdfplumbe,95,1,9,Unknown,Unknown,0,0,0
p1fplumber,90,1,10,Unknown,Unknown,0,0,0
pdfplumberx,95,1,11,Unknown,Unknown,0,0,0
pdfplumberlib,87,1,13,Unknown,Unknown,0,0,0
pdffplumber,95,1,11,Unknown,Unknown,0,0,0
0dfplumber,90,1,10,Unknown,Unknown,0,0,0
0ython-docx,91,1,11,Unknown,Unknown,0,0,0
python-docxy,96,1,12,Unknown,Unknown,0,0,0
python-docxx,96,1,12,Unknown,Unknown,0,0,0
p1thon-docx,91,1,11,Unknown,Unknown,0,0,0
python-doc,95,1,10,2020.10.1,Vinayak Mehta,32,5,2094
python-docxpkg,88,1,14,Unknown,Unknown,0,0,0
pytthon-docx,96,1,12,Unknown,Unknown,0,0,0
ython-docx,95,1,10,Unknown,Unknown,0,0,0
python-docxlib,88,1,14,Unknown,Unknown,0,0,0
pytthon-pptx,96,1,12,Unknown,Unknown,0,0,0
python-pptxx,96,1,12,Unknown,Unknown,0,0,0
python-pptxpkg,88,1,14,Unknown,Unknown,0,0,0
python-ppt,95,1,10,Unknown,Unknown,0,0,0
ython-pptx,95,1,10,Unknown,Unknown,0,0,0
python-pptxlib,88,1,14,Unknown,Unknown,0,0,0
p1thon-pptx,91,1,11,Unknown,Unknown,0,0,0
0ython-pptx,91,1,11,Unknown,Unknown,0,0,0
python-pptxy,96,1,12,Unknown,Unknown,0,0,0
odfp,89,1,4,Unknown,Unknown,0,0,0
odffpy,91,1,6,Unknown,Unknown,0,0,0
dfpy,89,1,4,0.1.0,Chaoming Wang,77,1,1931
odfpyx,91,1,6,Unknown,Unknown,0,0,0
odfpyy,91,1,6,Unknown,Unknown,0,0,0
lxmlx,89,1,5,2.0.2,Mike Kroutikov,42,11,3377
lxmml,89,1,5,Unknown,Unknown,0,0,0
lxmly,89,1,5,Unknown,Unknown,0,0,0
lxmll,89,1,5,Unknown,Unknown,0,0,0
mltodict,94,1,8,Unknown,Unknown,0,0,0
0mltodict,89,1,9,Unknown,Unknown,0,0,0
xmltodictt,95,1,10,Unknown,Unknown,0,0,0
xmltodic,94,1,8,Unknown,Unknown,0,0,0
xmltodictpkg,86,1,12,Unknown,Unknown,0,0,0
xmlltodict,95,1,10,Unknown,Unknown,0,0,0
xmltodictx,95,1,10,Unknown,Unknown,0,0,0
xmltodicty,95,1,10,Unknown,Unknown,0,0,0
xmltodictlib,86,1,12,Unknown,Unknown,0,0,0
x1ltodict,89,1,9,Unknown,Unknown,0,0,0
yfinancex,94,1,9,Unknown,Unknown,0,0,0
0finance,88,1,8,Unknown,Unknown,0,0,0
yfinancee,94,1,9,Unknown,Unknown,0,0,0
y1inance,88,1,8,Unknown,Unknown,0,0,0
yfinancey,94,1,9,Unknown,Unknown,0,0,0
yfiinance,94,1,9,Unknown,Unknown,0,0,0
yfinanc,93,1,7,Unknown,Unknown,0,0,0
finance,93,1,7,0.2502,Niels Henrik Bruun,113,1,4472
ccxxt,89,1,5,Unknown,Unknown,0,0,0
ccxty,89,1,5,Unknown,Unknown,0,0,0
ccxtt,89,1,5,Unknown,Unknown,0,0,0
ccxtx,89,1,5,Unknown,Unknown,0,0,0
baccktrader,95,1,11,Unknown,Unknown,0,0,0
acktrader,95,1,9,Unknown,Unknown,0,0,0
backtraderlib,87,1,13,Unknown,Unknown,0,0,0
backtrade,95,1,9,Unknown,Unknown,0,0,0
backtradery,95,1,11,Unknown,Unknown,0,0,0
backtraderx,95,1,11,Unknown,Unknown,0,0,0
backtraderpkg,87,1,13,Unknown,Unknown,0,0,0
b1cktrader,90,1,10,Unknown,Unknown,0,0,0
0acktrader,90,1,10,Unknown,Unknown,0,0,0
backtraderr,95,1,11,Unknown,Unknown,0,0,0
m1viepy,86,1,7,Unknown,Unknown,0,0,0
oviepy,92,1,6,Unknown,Unknown,0,0,0
moviepyy,93,1,8,Unknown,Unknown,0,0,0
movviepy,93,1,8,Unknown,Unknown,0,0,0
moviep,92,1,6,Unknown,Unknown,0,0,0
moviepyx,93,1,8,Unknown,Unknown,0,0,0
0oviepy,86,1,7,Unknown,Unknown,0,0,0
imageioo,93,1,8,Unknown,Unknown,0,0,0
imageiox,93,1,8,Unknown,Unknown,0,0,0
0mageio,86,1,7,Unknown,Unknown,0,0,0
mageio,92,1,6,Unknown,Unknown,0,0,0
imagei,92,1,6,Unknown,Unknown,0,0,0
imageioy,93,1,8,Unknown,Unknown,0,0,0
imaageio,93,1,8,Unknown,Unknown,0,0,0
i1ageio,86,1,7,Unknown,Unknown,0,0,0
0lbumentations,93,1,14,Unknown,Unknown,0,0,0
albumentationss,97,1,15,Unknown,Unknown,0,0,0
albumentationsx,97,1,15,2.3.1,Vladimir Iglovikov,409,25,362
albumentationslib,90,1,17,Unknown,Unknown,0,0,0
albumentation,96,1,13,Unknown,Unknown,0,0,0
albumentationsy,97,1,15,Unknown,Unknown,0,0,0
lbumentations,96,1,13,Unknown,Unknown,0,0,0
a1bumentations,93,1,14,Unknown,Unknown,0,0,0
albumentationspkg,90,1,17,Unknown,Unknown,0,0,0
albbumentations,97,1,15,Unknown,Unknown,0,0,0
timmx,89,1,5,0.4.4,Youssef Boulaouane,60,11,117
timmm,89,1,5,Unknown,Unknown,0,0,0
timmy,89,1,5,1.26.13,Aleksandr Dobdin,130,58,3635
sentence-transformersy,98,1,22,Unknown,Unknown,0,0,0
sentence-transformer,98,1,20,Unknown,Unknown,0,0,0
s1ntence-transformers,95,1,21,Unknown,Unknown,0,0,0
sentence-transformerspkg,93,1,24,Unknown,Unknown,0,0,0
sentence-transformersx,98,1,22,Unknown,Unknown,0,0,0
sentence-transformerslib,93,1,24,Unknown,Unknown,0,0,0
sentence-transformerss,98,1,22,Unknown,Unknown,0,0,0
0entence-transformers,95,1,21,Unknown,Unknown,0,0,0
entence-transformers,98,1,20,Unknown,Unknown,0,0,0
senntence-transformers,98,1,22,Unknown,Unknown,0,0,0
langchainx,95,1,10,Unknown,Unknown,0,0,0
angchain,94,1,8,Unknown,Unknown,0,0,0
l1ngchain,89,1,9,Unknown,Unknown,0,0,0
lanngchain,95,1,10,Unknown,Unknown,0,0,0
0angchain,89,1,9,Unknown,Unknown,0,0,0
langchainlib,86,1,12,Unknown,Unknown,0,0,0
langchainy,95,1,10,Unknown,Unknown,0,0,0
langchai,94,1,8,Unknown,Unknown,0,0,0
langchainpkg,86,1,12,Unknown,Unknown,0,0,0
langchainn,95,1,10,0.0.292,,53,1,1010
gradioy,92,1,7,Unknown,Unknown,0,0,0
gradiox,92,1,7,Unknown,Unknown,0,0,0
gradioo,92,1,7,Unknown,Unknown,0,0,0
gradi,91,1,5,Unknown,Unknown,0,0,0
radio,91,1,5,0.1.3,Santiago Pestarini,24,14,4487
graadio,92,1,7,Unknown,Unknown,0,0,0
dattasets,94,1,9,Unknown,Unknown,0,0,0
dataset,93,1,7,2.0.0,"Gregor Aisch, Stefan Wehrmeyer",41,58,4808
0atasets,88,1,8,Unknown,Unknown,0,0,0
datasetss,94,1,9,Unknown,Unknown,0,0,0
d1tasets,88,1,8,Unknown,Unknown,0,0,0
datasetsy,94,1,9,Unknown,Unknown,0,0,0
atasets,93,1,7,Unknown,Unknown,0,0,0
datasetsx,94,1,9,Unknown,Unknown,0,0,0
0valuate,88,1,8,Unknown,Unknown,0,0,0
e1aluate,88,1,8,Unknown,Unknown,0,0,0
evaluatee,94,1,9,Unknown,Unknown,0,0,0
evaluat,93,1,7,Unknown,Unknown,0,0,0
valuate,93,1,7,Unknown,Unknown,0,0,0
evaluatey,94,1,9,Unknown,Unknown,0,0,0
evaaluate,94,1,9,Unknown,Unknown,0,0,0
evaluatex,94,1,9,Unknown,Unknown,0,0,0
peftx,89,1,5,Unknown,Unknown,0,0,0
pefft,89,1,5,Unknown,Unknown,0,0,0
pefty,89,1,5,Unknown,Unknown,0,0,0
peftt,89,1,5,Unknown,Unknown,0,0,0
ccelerate,95,1,9,Unknown,Unknown,0,0,0
acccelerate,95,1,11,Unknown,Unknown,0,0,0
acceleratepkg,87,1,13,Unknown,Unknown,0,0,0
accelerat,95,1,9,Unknown,Unknown,0,0,0
a1celerate,90,1,10,Unknown,Unknown,0,0,0
acceleratey,95,1,11,Unknown,Unknown,0,0,0
acceleratee,95,1,11,Unknown,Unknown,0,0,0
acceleratelib,87,1,13,Unknown,Unknown,0,0,0
acceleratex,95,1,11,Unknown,Unknown,0,0,0
0ccelerate,90,1,10,Unknown,Unknown,0,0,0
faiss-cpuu,95,1,10,Unknown,Unknown,0,0,0
0aiss-cpu,89,1,9,Unknown,Unknown,0,0,0
faiss-cpulib,86,1,12,Unknown,Unknown,0,0,0
faiss-cp,94,1,8,Unknown,Unknown,0,0,0
aiss-cpu,94,1,8,Unknown,Unknown,0,0,0
faiss-cpupkg,86,1,12,Unknown,Unknown,0,0,0
faiss-cpux,95,1,10,Unknown,Unknown,0,0,0
faiiss-cpu,95,1,10,Unknown,Unknown,0,0,0
faiss-cpuy,95,1,10,Unknown,Unknown,0,0,0
f1iss-cpu,89,1,9,Unknown,Unknown,0,0,0
follium,92,1,7,Unknown,Unknown,0,0,0
foliu,91,1,5,Unknown,Unknown,0,0,0
foliumm,92,1,7,Unknown,Unknown,0,0,0
olium,91,1,5,Unknown,Unknown,0,0,0
foliumy,92,1,7,Unknown,Unknown,0,0,0
foliumx,92,1,7,Unknown,Unknown,0,0,0
geopyx,91,1,6,Unknown,Unknown,0,0,0
geoopy,91,1,6,Unknown,Unknown,0,0,0
eopy,89,1,4,0.0,UNKNOWN,7,1,0
geop,89,1,4,Unknown,Unknown,0,0,0
geopyy,91,1,6,Unknown,Unknown,0,0,0
wordcloudx,95,1,10,Unknown,Unknown,0,0,0
wordcloudd,95,1,10,Unknown,Unknown,0,0,0
wordcloudpkg,86,1,12,Unknown,Unknown,0,0,0
wordcloudlib,86,1,12,Unknown,Unknown,0,0,0
worrdcloud,95,1,10,Unknown,Unknown,0,0,0
ordcloud,94,1,8,Unknown,Unknown,0,0,0
w1rdcloud,89,1,9,Unknown,Unknown,0,0,0
wordcloudy,95,1,10,Unknown,Unknown,0,0,0
wordclou,94,1,8,Unknown,Unknown,0,0,0
0ordcloud,89,1,9,Unknown,Unknown,0,0,0
0mbalanced-learn,94,1,16,Unknown,Unknown,0,0,0
mbalanced-learn,97,1,15,Unknown,Unknown,0,0,0
imbbalanced-learn,97,1,17,Unknown,Unknown,0,0,0
imbalanced-learnlib,91,1,19,Unknown,Unknown,0,0,0
i1balanced-learn,94,1,16,Unknown,Unknown,0,0,0
imbalanced-learnx,97,1,17,Unknown,Unknown,0,0,0
imbalanced-learnpkg,91,1,19,Unknown,Unknown,0,0,0
imbalanced-lear,97,1,15,Unknown,Unknown,0,0,0
imbalanced-learny,97,1,17,Unknown,Unknown,0,0,0
imbalanced-learnn,97,1,17,Unknown,Unknown,0,0,0
statsforecastt,96,1,14,Unknown,Unknown,0,0,0
statsforecastlib,90,1,16,Unknown,Unknown,0,0,0
statsforecasty,96,1,14,Unknown,Unknown,0,0,0
statsforecas,96,1,12,Unknown,Unknown,0,0,0
staatsforecast,96,1,14,Unknown,Unknown,0,0,0
0tatsforecast,92,1,13,Unknown,Unknown,0,0,0
s1atsforecast,92,1,13,Unknown,Unknown,0,0,0
tatsforecast,96,1,12,Unknown,Unknown,0,0,0
statsforecastpkg,90,1,16,Unknown,Unknown,0,0,0
statsforecastx,96,1,14,Unknown,Unknown,0,0,0
prophety,93,1,8,Unknown,Unknown,0,0,0
prophe,92,1,6,Unknown,Unknown,0,0,0
rophet,92,1,6,Unknown,Unknown,0,0,0
0rophet,86,1,7,Unknown,Unknown,0,0,0
proophet,93,1,8,Unknown,Unknown,0,0,0
prophett,93,1,8,Unknown,Unknown,0,0,0
p1ophet,86,1,7,Unknown,Unknown,0,0,0
prophetx,93,1,8,Unknown,Unknown,0,0,0
